example_id                                               | status  | run_time        |
./spec/requests/relationships_request_spec.rb[1:2:1:2]   | passed  | 0.0598 seconds  |
./spec/requests/relationships_request_spec.rb[1:2:2:1]   | passed  | 0.07418 seconds |
./spec/requests/sessions_request_spec.rb[1:1:1]          | passed  | 0.02065 seconds |
./spec/requests/sessions_request_spec.rb[1:2:1:1:1]      | passed  | 0.04034 seconds |
./spec/requests/sessions_request_spec.rb[1:2:1:2]        | passed  | 0.02595 seconds |
./spec/requests/sessions_request_spec.rb[1:2:1:3:1]      | passed  | 0.04026 seconds |
./spec/requests/sessions_request_spec.rb[1:2:2:1]        | passed  | 0.04028 seconds |
./spec/requests/sessions_request_spec.rb[1:2:2:2]        | passed  | 0.04557 seconds |
./spec/requests/sessions_request_spec.rb[1:2:2:3:1]      | passed  | 0.05967 seconds |
./spec/requests/sessions_request_spec.rb[1:2:3:1:1]      | passed  | 0.02854 seconds |
./spec/requests/sessions_request_spec.rb[1:2:3:1:2]      | passed  | 0.02426 seconds |
./spec/requests/sessions_request_spec.rb[1:3:1:1]        | passed  | 0.02319 seconds |
./spec/requests/sessions_request_spec.rb[1:3:1:2]        | passed  | 0.0423 seconds  |
./spec/requests/sessions_request_spec.rb[1:3:1:3]        | passed  | 0.03959 seconds |
./spec/requests/site_layouts_spec.rb[1:1:1]              | passed  | 0.41578 seconds |
./spec/requests/users_request_spec.rb[1:1:1]             | passed  | 0.15658 seconds |
./spec/requests/users_request_spec.rb[1:1:2]             | passed  | 0.15213 seconds |
./spec/requests/users_request_spec.rb[1:1:3:1]           | passed  | 0.17208 seconds |
./spec/requests/users_request_spec.rb[1:1:4:1]           | passed  | 0.22583 seconds |
./spec/requests/users_request_spec.rb[1:1:5:1]           | passed  | 0.23513 seconds |
./spec/requests/users_request_spec.rb[1:2:1:1]           | passed  | 0.17923 seconds |
./spec/requests/users_request_spec.rb[1:2:2:1]           | passed  | 0.19072 seconds |
./spec/requests/users_request_spec.rb[1:2:2:2]           | passed  | 0.16617 seconds |
./spec/requests/users_request_spec.rb[1:3:1:1:1:1]       | passed  | 0.31858 seconds |
./spec/requests/users_request_spec.rb[1:3:1:1:2:1]       | passed  | 0.36531 seconds |
./spec/requests/users_request_spec.rb[1:3:1:1:3:1]       | passed  | 0.37305 seconds |
./spec/requests/users_request_spec.rb[1:3:1:1:4:1]       | passed  | 0.32906 seconds |
./spec/requests/users_request_spec.rb[1:3:1:1:5:1]       | passed  | 0.28188 seconds |
./spec/requests/users_request_spec.rb[1:3:2:1:1]         | passed  | 0.22283 seconds |
./spec/requests/users_request_spec.rb[1:3:2:1:2]         | passed  | 0.24978 seconds |
./spec/requests/users_request_spec.rb[1:3:2:2:1]         | passed  | 0.21081 seconds |
./spec/requests/users_request_spec.rb[1:4:1:1:1]         | passed  | 0.1793 seconds  |
./spec/requests/users_request_spec.rb[1:4:2:1:1]         | passed  | 0.41296 seconds |
./spec/requests/users_request_spec.rb[1:5:1:1]           | passed  | 0.17069 seconds |
./spec/requests/users_request_spec.rb[1:5:2:1]           | passed  | 0.17026 seconds |
